px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.81278	19.6235	4.95662	3.67005	0.481975	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	2.51051
5.61194	19.5054	4.94491	3.6927	0.481146	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	0.564729
5.41448	19.3539	4.94347	3.72981	0.502687	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	1.64006
5.19108	19.2561	4.94606	3.73522	0.478718	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	1.87655
4.98847	19.1444	4.93062	3.73881	0.43893	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	4.21518
4.80694	18.9939	4.9181	3.76901	0.449985	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	0.406533
4.60651	18.8428	4.92613	3.79909	0.469811	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	1.56663
4.41537	18.7116	4.91677	3.81523	0.461569	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	0.911516
4.22229	18.5705	4.90741	3.82268	0.426886	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	1.33955
4.07423	18.4114	4.87853	3.85559	0.443468	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	2.12574
3.90302	18.2366	4.88945	3.90667	0.513494	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	6.89255
3.66792	18.0993	4.91836	3.90327	0.474979	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	2.80959
3.49122	17.9481	4.90222	3.90828	0.434372	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	3.31023
3.27836	17.7844	4.92519	3.91579	0.414724	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	1.34526
3.11085	17.5997	4.93451	3.95552	0.459225	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	2.5418
2.918	17.4824	4.92036	3.94923	0.423966	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	5.87222
